horario,quantidade
00:00,0
01:00,0
02:00,0
03:00,0
04:00,0
05:00,0
06:00,0
07:00,0
08:00,215
09:00,386
10:00,275
11:00,315
12:00,145
13:00,257
14:00,216
15:00,185
16:00,199
17:00,285
18:00,299
19:00,0
20:00,0
21:00,0
22:00,0
23:00,0
